,name,link,employer,salary_min,salary_max,salary_currency
186,Программист Python/JavaScript секретарь,https://hh.ru/vacancy/42411532?query=Python,ООО ИнфоТех,60000.0,,руб.
187,Data Engineer,https://hh.ru/vacancy/42326397?query=Python, Dostavista Global,230000.0,,руб.
188,Аналитик данных / Data Engineer,https://hh.ru/vacancy/43015639?query=Python,ООО Ресурс Групп,,,
189,"Team Lead (Python, Django)",https://hh.ru/vacancy/43012773?query=Python, РусПерсонал,250000.0,350000.0,руб.
190,Программист-разработчик Python,https://hh.ru/vacancy/43014438?query=Python, Мойте сами,,,
191,"FullStack Developer (Python Django, React)",https://hh.ru/vacancy/42959540?query=Python, Supernice,270000.0,,руб.
192,Junior Data Analyst,https://hh.ru/vacancy/42886507?query=Python, HASH CIB,,,
193,Python разработчик,https://hh.ru/vacancy/41095804?query=Python, ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ,100000.0,160000.0,руб.
194,Senior Python developer,https://hh.ru/vacancy/41263186?query=Python, Rutube,200000.0,,руб.
195,Ведущий специалист по Machine learning,https://hh.ru/vacancy/42202946?query=Python, Адалиск,250000.0,,руб.
196,Data Engineer (Python),https://hh.ru/vacancy/42432726?query=Python," Prisma Labs, inc.",,,
197,Разработчик (Python),https://hh.ru/vacancy/40551245?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000.0,160000.0,руб.
198,Python Программист разработчик,https://hh.ru/vacancy/42676588?query=Python,ООО РНД поинт,,,
199,Teamlead Backend (Python),https://hh.ru/vacancy/40840868?query=Python,ООО Фабрика Решений,120000.0,300000.0,руб.
200,Quantitative developer (HFT developer),https://hh.ru/vacancy/43005025?query=Python, Cindicator,,400000.0,руб.
201,DevOps Engineer,https://hh.ru/vacancy/42301915?query=Python, ZAVOD Games,170000.0,250000.0,руб.
202,Senior Backend-разработчик (Python),https://hh.ru/vacancy/41649102?query=Python, Hoodies,200000.0,320000.0,руб.
203,Python разработчик,https://hh.ru/vacancy/42855358?query=Python, Digital Hub,90000.0,110000.0,руб.
204,Python разработчик,https://hh.ru/vacancy/42766512?query=Python, Филиал компании Лист Ренталс Лимитед,1500.0,4000.0,USD
205,Python-разработчик,https://hh.ru/vacancy/43002250?query=Python, IVIDEON,170000.0,230000.0,руб.
206,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?query=Python,ООО Фабрика Решений,60000.0,150000.0,руб.
207,Python / C++ разработчик,https://hh.ru/vacancy/42783010?query=Python, Wunder Fund,150000.0,200000.0,руб.
208,Программист-математик/Алгоритмист (США),https://hh.ru/vacancy/42251823?query=Python,ООО Parascript,,7000.0,USD
209,Python/Django разработчик,https://hh.ru/vacancy/42799332?query=Python, idaproject,70000.0,,руб.
210,Аналитик данных со знанием Python,https://hh.ru/vacancy/43004074?query=Python,Разработчик решений по обработке данных,100000.0,150000.0,руб.
211,Программист Python,https://hh.ru/vacancy/42844642?query=Python,ООО Артистраж,60000.0,200000.0,руб.
212,Разработчик Python,https://hh.ru/vacancy/42564873?query=Python, GRAFFIT,,50000.0,руб.
213,Python Backend Developer,https://hh.ru/vacancy/42965532?query=Python, Кан Александр Сергеевич,40000.0,50000.0,руб.
214,Data Scientist (компьютерное зрение),https://hh.ru/vacancy/42813933?query=Python,ООО Дип Системс,70000.0,400000.0,руб.
215,Python разработчик,https://hh.ru/vacancy/42844788?query=Python, Университет искусственного интеллекта,70000.0,80000.0,руб.
216,Quantitative researcher,https://hh.ru/vacancy/42932744?query=Python, Wunder Fund,350000.0,,руб.
217,Backend-разработчик Python,https://hh.ru/vacancy/42588879?query=Python,ООО Мирамедикс,170000.0,230000.0,руб.
218,Python Backend разработчик,https://hh.ru/vacancy/42555938?query=Python,ООО Декаст Инжиниринг,150000.0,250000.0,руб.
219,Data Engineer,https://hh.ru/vacancy/41469811?query=Python,ООО Айти-Солюшнс,250000.0,,руб.
220,Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/42822407?query=Python,ООО Диджитал Пайн,60000.0,120000.0,руб.
221,Аналитик / Data Analyst (Product Analyst),https://hh.ru/vacancy/42814545?query=Python,ООО Далитикс,100000.0,,руб.
222,Python-разработчик,https://hh.ru/vacancy/42277259?query=Python, ivi,160000.0,200000.0,руб.
223,Разработчик Python,https://hh.ru/vacancy/41784502?query=Python,ООО Доверенная среда,180000.0,,руб.
224,Python QA Engineer Intern,https://hh.ru/vacancy/42674523?query=Python, ViCue Soft,,,
225,Бекенд Python-разработчик (Django),https://hh.ru/vacancy/42802585?query=Python,ООО Диджитал Линк,,,
226,Python developer,https://hh.ru/vacancy/30005963?query=Python, NetworkOptix,4000.0,,USD
227,Python-разработчик (Senior),https://hh.ru/vacancy/42602096?query=Python, Russian Quantum Center,150000.0,250000.0,руб.
228,Back-end разработчик Python,https://hh.ru/vacancy/42706234?query=Python, Insilico Medicine,160000.0,190000.0,руб.
229,Программист Python,https://hh.ru/vacancy/42226188?query=Python,ООО ФК ПУЛЬС,140000.0,180000.0,руб.
230,Ведущий аналитик данных/Data Analyst,https://hh.ru/vacancy/42957933?query=Python, Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,180000.0,220000.0,руб.
231,Data Scientist,https://hh.ru/vacancy/42713907?query=Python, COMPAREX,150000.0,250000.0,руб.
232,Backend python/Django разработчик,https://hh.ru/vacancy/42598849?query=Python,ООО БОЛЬШАЯ ТРОЙКА,120000.0,200000.0,руб.
233,Разработчик Python (middle Python developer),https://hh.ru/vacancy/42419682?query=Python,АО НПО АНГСТРЕМ,120000.0,150000.0,руб.
